id,age,income,insurance,invested,em1,em2,em3,converted
857,42.3,3419.78,14769.31,2558.62,1,1,1,0
50,35.2,2227.03,20438.73,6369.0,0,1,1,0
5532,38.4,13256.45,6306.31,26362.23,0,0,1,0
3644,36.9,8569.6,2653.56,12454.65,1,1,1,0
12316,41.2,3903.49,923.87,9227.36,1,0,1,0
9411,44.6,3231.08,26706.05,3782.22,0,1,1,0
7970,42.8,9229.23,55686.01,13740.72,1,1,1,0
5069,40.8,1493.8,44037.07,1894.16,0,0,1,0
7112,42.2,3178.96,6483.73,7814.44,1,0,1,1
9186,46.5,1951.31,120594.4,7256.36,1,0,1,0
14974,42.8,3972.44,57256.75,13453.44,0,0,1,0
12862,44.2,11141.53,20780.39,37381.72,1,1,1,0
6710,41.2,7720.66,430.18,37845.88,0,0,1,1
597,43.2,5012.17,19086.03,8638.23,0,0,1,0
5450,46.6,6830.51,21297.28,32873.33,1,0,0,0
14939,39.6,10393.22,15025.68,14981.1,0,0,1,0
4499,41.5,3531.17,60175.47,5496.54,1,0,1,1
1885,40.7,934.45,7638.16,1203.99,0,1,0,0
9360,39.1,569.26,52890.76,827.82,0,0,1,0
10999,41.0,5112.04,9199.84,19051.64,0,0,1,0
9082,46.6,7551.95,1785.89,22085.82,0,0,1,0
4240,42.0,1877.23,35443.11,5719.79,1,0,1,0
3564,44.8,2571.53,63304.9,8850.86,1,0,1,0
10060,37.5,3029.44,57103.94,16161.58,1,0,0,0
9486,45.0,11867.07,4211.47,9909.68,0,0,1,0
891,33.2,2523.36,100554.2,5389.52,0,0,1,0
14750,43.3,502.07,46500.27,769.16,1,0,1,0
2805,35.2,1153.51,16410.69,2099.16,1,0,1,0
6844,43.4,8944.43,216.69,14616.57,1,0,1,0
10231,41.5,921.74,26191.42,2424.71,0,0,1,0
11703,35.9,3898.69,16526.17,7662.09,1,0,1,0
5273,39.3,1078.74,129194.48,1319.8,0,0,1,0
2753,46.0,1765.78,8783.95,6026.18,1,0,0,1
13715,47.6,1058.35,22727.95,704.94,0,0,1,0
11440,47.0,1917.97,13.5,5529.42,1,0,1,0
1816,43.7,1033.51,17186.78,1515.19,0,0,1,0
5007,39.8,4224.0,5923.49,15740.45,0,0,0,0
10646,40.2,6211.66,4569.74,12261.58,0,0,1,1
3140,39.0,2506.0,5256.7,6587.51,1,0,1,1
11913,30.5,4930.98,3180.34,12211.36,1,1,0,1
4179,46.6,1187.77,25196.69,3545.77,1,0,1,0
13477,40.4,922.0,55259.14,3604.23,1,0,0,0
14768,43.5,6926.96,44300.79,13359.74,1,0,0,0
5272,44.4,2691.48,32385.34,5805.45,1,0,1,0
5833,46.6,647.3199999999999,39595.4,1983.79,1,0,1,1
7128,48.2,2062.01,1758.05,4339.21,0,0,1,0
10383,36.3,8437.86,21994.47,9611.39,1,0,1,0
1009,39.2,1869.72,22721.9,6746.71,0,0,1,0
13076,45.7,1218.22,668.42,2796.69,0,0,1,0
3194,35.3,827.14,33270.48,1399.75,1,0,1,0
14825,40.8,6530.44,15031.25,18856.39,0,0,1,0
5400,45.2,1502.85,22455.19,3932.57,0,0,0,0
11473,36.0,2537.8900000000003,100634.99,4106.91,1,0,1,0
491,41.9,3281.38,869.93,11585.63,0,0,1,0
12273,47.2,2672.87,29552.48,11582.28,1,1,0,0
10543,44.3,1225.29,3036.52,1894.44,0,0,0,0
1079,44.8,12772.32,11642.57,46496.28,0,0,1,0
11623,38.1,3859.52,13128.97,7090.07,0,1,0,1
5725,48.2,9079.32,22734.58,34186.49,1,0,1,1
128,34.1,2057.78,35300.4,1991.48,0,0,1,1
10537,39.4,4969.62,30068.49,9650.45,1,0,1,0
3806,39.9,4551.04,31890.1,3874.21,1,0,1,0
1445,47.4,9962.32,1790.13,21190.26,1,0,0,0
9401,43.1,1589.78,126.64,4177.41,0,0,1,0
6717,41.6,651.58,12961.31,2871.56,0,1,1,0
1577,38.7,6000.56,87888.81,3989.32,0,0,1,0
1150,41.6,4275.87,2496.82,5622.65,0,0,1,0
1850,44.7,982.6,9990.55,3008.1,1,0,1,0
9755,43.2,15746.51,698.56,107295.09,1,0,1,1
1841,38.5,1964.71,54671.7,3432.61,0,1,1,0
1638,38.1,616.94,97857.18,1021.04,0,0,1,0
3957,43.7,11904.81,58477.84,55437.46,1,0,1,1
9176,36.2,6110.2,2034.2,7163.92,0,0,0,0
427,39.9,5285.81,716.83,14696.8,0,0,1,1
8033,42.3,6317.85,11788.59,12330.02,0,1,1,0
10521,45.4,2196.3900000000003,27802.05,5649.99,1,0,1,0
10311,36.4,4657.53,3194.89,3062.05,1,1,0,0
13406,38.0,737.11,9435.95,742.57,0,0,1,0
8817,39.4,5183.79,9283.7,20384.01,0,0,1,0
6779,45.7,2330.56,12292.08,5673.36,0,0,1,0
12592,42.0,1363.28,246.14,2879.8,1,1,1,0
970,40.0,2762.69,65851.07,5136.78,0,1,1,0
6005,41.2,4604.92,25329.46,5503.46,0,0,1,0
8260,42.3,2964.52,97538.6,9431.63,0,0,1,0
813,39.1,1658.41,24550.45,3083.99,1,0,1,1
9232,39.1,836.86,15025.57,1100.53,0,0,1,0
8444,37.5,1268.47,54323.38,1429.22,0,0,1,0
3303,42.9,2907.76,23719.2,5661.77,1,0,1,0
4910,32.9,2699.32,3115.88,5918.24,0,0,1,0
10912,44.4,4473.09,25795.17,9963.35,0,0,1,0
2439,43.9,2350.4700000000003,53210.21,5389.68,1,0,1,0
506,45.8,7853.27,47936.17,27221.47,1,1,1,0
791,46.2,841.51,108.69,1625.64,1,0,1,0
14232,41.3,8945.59,25101.76,14315.76,0,0,1,0
9644,42.2,2287.85,10602.63,7238.15,0,0,1,0
5332,41.2,2251.6800000000003,29360.18,4829.4,1,0,1,0
1600,45.7,4624.72,15298.69,4218.61,0,0,1,0
4146,44.1,774.62,10586.4,3984.97,1,1,1,0
2415,43.1,2266.42,20298.68,2367.68,0,0,1,0
9910,44.3,6296.66,20513.85,6663.1,1,0,1,0
7854,40.7,3236.42,3209.38,4607.33,1,1,1,0
10982,39.0,4851.15,3638.24,9826.51,1,1,1,0
14265,45.4,1914.49,62996.46,2914.66,0,0,1,0
6254,40.2,7101.56,158520.65,20477.56,0,0,1,0
1208,43.5,9134.89,6978.35,22006.81,0,0,1,0
6840,42.1,1490.85,748.89,2495.68,1,1,1,0
935,43.5,3111.17,43375.79,3357.27,0,1,1,1
9284,40.6,718.49,36349.55,1573.68,0,0,1,0
10454,47.8,23880.77,233.37,29970.25,1,1,1,1
8103,36.5,1841.15,71967.64,4708.26,1,0,1,1
5611,41.3,6227.93,3036.43,8660.19,1,1,1,1
3800,46.2,5267.53,6402.37,8836.91,0,0,1,0
2315,46.3,7637.78,42332.55,22372.61,1,0,0,0
5741,46.6,6054.67,87293.06,13002.64,0,0,1,0
13172,42.0,19162.12,2665.59,86394.11,1,0,1,0
1020,34.5,3915.41,18708.57,4192.21,1,1,1,0
14089,43.4,3182.59,27197.0,10052.98,1,0,1,0
11789,44.1,1071.3,13817.31,1611.15,0,0,1,0
367,40.5,7190.87,14989.71,27848.4,1,1,1,0
3368,37.4,6539.63,30240.16,17142.74,0,0,1,1
4929,41.2,6697.64,24033.4,5495.65,1,0,1,0
7444,44.9,3288.77,3282.32,5617.84,1,1,0,1
2849,45.0,2765.53,9500.44,3487.05,0,0,1,0
10146,36.9,10576.14,48201.72,32361.37,0,0,0,1
12159,43.2,1386.14,30382.4,824.3,1,0,1,0
8763,46.6,1882.94,6812.24,3596.74,1,0,1,0
10103,49.6,6495.59,7800.61,20073.38,0,0,1,0
10709,37.2,573.5699999999999,1626.22,1015.42,0,0,1,0
10729,48.2,821.74,40006.47,2409.73,0,0,1,0
7845,35.1,2203.42,9391.25,2975.88,1,1,1,0
4233,36.3,2913.55,2121.36,7885.69,0,1,1,0
12753,37.8,1646.23,31851.79,3554.33,0,0,1,0
1719,41.5,1646.23,226.58,1060.56,1,0,1,0
10504,40.7,2090.54,143152.23,2611.64,1,0,1,0
12339,34.2,3594.57,9263.53,7400.41,1,0,1,0
7317,41.9,1005.36,20960.96,3692.28,1,0,0,0
4230,42.4,4653.67,14256.04,11039.48,1,1,0,1
6522,32.3,774.6700000000001,24504.1,667.28,0,0,1,0
4323,32.4,1813.95,22045.92,1079.83,1,0,1,0
10240,42.4,721.25,30582.84,1299.85,0,0,1,0
3241,40.7,1639.35,9433.17,1574.23,1,0,1,0
8478,48.5,8859.88,13537.54,23627.7,0,0,1,0
2815,40.1,1851.14,32751.9,3028.99,0,0,1,0
1632,44.5,1049.99,3343.17,4830.15,0,0,1,0
7253,44.8,9952.87,8993.18,22969.84,0,0,1,0
6861,45.2,7215.67,37787.76,13911.41,1,0,1,0
773,44.1,5434.75,1389.96,32622.79,1,0,1,0
11405,45.0,6262.77,17065.32,14002.91,0,0,1,0
12742,43.2,6910.44,3247.39,12014.56,1,0,1,1
396,36.3,5227.73,18410.89,5235.16,0,0,1,0
4264,39.9,5661.01,32546.21,8100.04,1,0,1,0
13261,46.2,767.28,106803.33,766.86,1,1,1,0
129,48.0,3099.46,30067.12,7364.51,1,0,1,0
5896,33.2,4403.42,69002.96,3599.62,1,1,1,0
9234,41.7,600.03,10163.35,2760.47,0,0,1,0
12491,37.3,982.74,22433.05,728.47,0,0,1,0
1441,51.1,4731.64,8498.35,7950.24,0,1,1,0
6215,43.7,2344.11,55689.08,4529.18,0,0,1,0
865,43.5,5184.64,97642.82,9630.33,1,0,1,0
908,40.5,2120.02,40866.64,2861.21,0,0,1,0
