wage,hours,IQ,educ,exper,tenure,age,married,black,south,urban,sibs,brthord,meduc,feduc
769,40,93,12,11,2,31,1,0,0,1,1,2,8,8
808,50,119,18,11,16,37,1,0,0,1,1,,14,14
825,40,108,14,11,9,33,1,0,0,1,1,2,14,14
650,40,96,12,13,7,32,1,0,0,1,4,3,12,12
562,40,74,11,14,5,34,1,0,0,1,10,6,6,11
1400,40,116,16,14,2,35,1,1,0,1,1,2,8,
600,40,91,10,13,0,30,0,0,0,1,1,2,8,8
1081,40,114,18,8,14,38,1,0,0,1,2,3,8,
1154,45,111,15,13,1,36,1,0,0,0,2,3,14,5
1000,40,95,12,16,16,36,1,0,0,1,1,1,12,11
930,43,132,18,8,13,38,1,0,0,0,1,1,13,14
921,38,102,14,9,11,33,1,0,0,0,1,2,16,
900,45,125,15,4,3,30,0,0,0,0,2,,12,12
1318,38,119,16,7,2,28,1,0,0,1,3,1,10,10
1792,40,118,16,9,9,34,1,0,0,1,1,1,12,12
958,50,105,10,17,2,35,1,0,0,1,1,2,6,8
1360,45,109,15,6,9,36,1,0,0,1,3,3,12,10
850,40,72,11,19,10,38,1,0,0,1,2,3,10,8
830,44,105,14,4,7,29,1,0,0,1,3,1,12,
471,44,101,12,13,7,31,1,0,0,1,3,2,8,
1275,40,123,14,9,1,31,1,0,0,1,0,1,12,
1615,50,113,16,10,4,36,1,0,0,1,2,1,12,12
873,65,95,12,14,3,38,1,0,0,1,5,1,10,10
2137,45,145,16,17,8,38,1,0,0,1,2,1,12,12
1053,38,114,16,12,7,32,1,0,0,1,0,1,11,11
1602,60,124,16,8,9,29,1,0,0,1,3,1,16,16
1188,40,93,13,16,5,35,1,0,0,1,2,1,12,8
800,40,115,18,11,1,35,1,0,1,1,0,1,8,8
1417,48,125,17,9,4,34,1,0,0,1,3,1,13,12
635,40,128,18,8,13,36,0,0,0,1,2,1,16,16
1000,40,103,12,17,2,34,1,0,0,1,1,1,8,
1424,50,98,14,15,4,35,1,0,0,1,1,1,12,12
2668,75,108,13,12,2,32,1,0,1,1,1,2,12,12
666,75,129,18,8,12,38,1,0,0,0,2,1,18,18
1779,40,132,17,8,9,32,1,0,0,1,1,1,17,14
782,40,92,13,9,10,31,1,0,0,1,3,3,8,
1572,35,108,14,7,5,28,1,1,0,1,1,,12,8
1274,40,106,13,11,12,31,1,0,0,1,0,1,15,12
714,35,105,16,9,2,29,1,0,0,1,1,2,13,12
1081,40,123,18,11,7,36,1,0,0,0,1,1,12,12
692,40,108,12,21,11,38,1,0,0,1,3,1,8,7
1318,38,122,17,10,9,33,1,0,0,1,1,,12,8
1239,45,109,12,16,4,38,1,0,0,1,3,3,12,
1027,27,100,13,12,15,38,1,0,0,1,3,3,10,9
1748,55,125,18,12,12,34,1,0,0,1,1,2,14,15
981,40,122,14,9,15,35,0,0,0,1,3,2,12,
770,40,105,17,7,11,30,1,0,0,1,3,1,12,12
1154,50,94,16,11,5,33,1,0,0,1,1,,12,12
1155,40,102,12,16,5,34,1,0,0,1,1,2,12,
808,60,109,13,14,12,38,1,0,0,1,2,2,12,10
1100,40,105,12,22,14,38,1,0,0,1,1,1,12,12
1154,40,134,18,10,10,37,1,0,1,1,2,1,12,12
1749,40,108,12,13,9,29,0,0,0,1,7,1,12,9
1000,50,104,16,11,8,30,1,0,0,1,1,1,12,11
462,40,112,12,11,1,29,1,0,0,1,8,3,12,
769,55,120,18,8,12,32,0,0,0,1,1,1,11,8
875,50,124,16,9,3,31,0,0,0,0,2,2,17,16
1375,40,103,12,12,7,29,1,0,0,1,4,2,12,10
1452,45,115,17,1,7,30,1,0,0,1,3,1,12,14
800,40,96,12,17,12,35,1,0,0,1,1,2,6,8
1748,55,123,17,10,7,36,1,0,0,1,1,1,12,12
1151,40,98,12,12,12,29,1,0,0,1,3,4,12,8
840,50,96,12,18,13,35,1,0,0,1,2,1,12,8
978,45,89,12,17,2,38,1,0,0,1,0,1,12,
963,40,109,12,15,15,37,0,0,0,0,5,,,7
619,42,93,12,10,10,28,0,0,0,1,8,,9,11
442,60,82,12,12,0,33,1,0,0,1,2,3,12,9
600,40,120,15,12,1,38,1,0,0,0,3,4,12,
1366,38,122,12,15,15,32,1,0,0,1,1,2,12,
1643,48,117,18,8,2,33,1,0,0,1,2,2,12,18
1455,40,109,16,8,13,36,1,0,0,1,1,2,8,8
